,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,disclosure_date
19,12/21/2021,Self,KR,Kroger Company (The) Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
20,12/21/2021,Self,GILD,"Gilead Sciences, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
21,12/21/2021,Self,FB,"Facebook, Inc. - Class A Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
22,12/21/2021,Self,XOM,Exxon Mobil Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
23,12/21/2021,Self,DVA,DaVita Inc. Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
24,12/21/2021,Self,CVS,CVS Health Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
25,12/21/2021,Self,BRK.B,Berkshire Hathaway Inc. New Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
26,12/21/2021,Self,BAC,Bank of America Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
27,12/21/2021,Self,AAPL,Apple Inc. - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
28,12/21/2021,Self,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
29,12/21/2021,Self,VZ,Verizon Communications Inc. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
30,12/21/2021,Self,PII,Polaris Inc. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
31,12/21/2021,Self,PFE,"Pfizer, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
32,12/21/2021,Self,KMB,Kimberly-Clark Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
33,12/21/2021,Self,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
34,12/21/2021,Self,CSCO,"Cisco Systems, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
35,12/21/2021,Self,CI,Cigna Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
36,12/21/2021,Self,BK,The Bank of New York Mellon Corporation Common Sto,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
37,12/16/2021,Self,IRT,"Steadfast Income REIT (Exchanged) <br> Independence Realty Trust, Inc. Common Stock (Received)",Stock,Exchange,"$15,001 - $50,000",--,John R Thune,https://efdsearch.senate.gov/search/view/ptr/ef1c990c-0eda-434f-ab4d-987550fa9738/,01/14/2022
38,12/22/2021,Joint,AAPL,Apple Inc. - Common Stock,Stock,Sale (Partial),"$50,001 - $100,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
39,12/29/2021,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $185.00 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
40,12/29/2021,Joint,QQQ,"Invesco QQQ Trust, Series 1 <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $285.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
41,12/27/2021,Joint,ECOM,"ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
42,12/23/2021,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $17.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
43,12/23/2021,Joint,ECOM,"ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
44,12/23/2021,Joint,ECOM,"ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
45,12/23/2021,Joint,BABA,Alibaba Group Holding Limited American Depositary,Stock,Sale (Partial),"$50,001 - $100,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
46,12/21/2021,Joint,BABA,Alibaba Group Holding Limited American Depositary,Stock,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
47,12/15/2021,Joint,BABA,Alibaba Group Holding Limited American Depositary,Stock,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
48,12/14/2021,Joint,BABA,Alibaba Group Holding Limited American Depositary,Stock,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
49,12/13/2021,Joint,SSYS,"Stratasys, Ltd. - Common Stock",Stock,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
50,12/01/2021,Self,--,Apr 22 CME Cattle,Commodities/Futures Contract,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,01/12/2022
51,12/28/2021,Self,DDOG,"Datadog, Inc. - Class A Common Stock",Stock,Sale (Full),"$15,001 - $50,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
52,12/23/2021,Self,RHP,"Ryman Hospitality Properties, Inc. (REIT)",Stock,Sale (Full),"$100,001 - $250,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
53,12/23/2021,Self,RNR,RenaissanceRe Holdings Ltd. Common Stock,Stock,Sale (Partial),"$250,001 - $500,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
54,12/23/2021,Self,RHP,"Ryman Hospitality Properties, Inc. (REIT)",Stock,Sale (Partial),"$15,001 - $50,000",Asset held by William F. Hagerty IV.,"William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
55,12/28/2021,Self,RNR,RenaissanceRe Holdings Ltd. Common Stock,Stock,Sale (Partial),"$250,001 - $500,000",Asset held by William F. Hagerty IV.,"William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
56,12/29/2021,Self,PNFP,"Pinnacle Financial Partners, Inc. - Common Stock",Stock,Sale (Partial),"$100,001 - $250,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
57,12/29/2021,Self,ENVA,"Enova International, Inc. Common Stock",Stock,Sale (Full),"$15,001 - $50,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
58,12/29/2021,Self,CCEP,Coca-Cola Europacific Partners plc - Ordinary Shar,Stock,Sale (Full),"$50,001 - $100,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
59,12/29/2021,Self,BKEP,"Blueknight Energy Partners L.P., L.L.C. - Common U",Stock,Sale (Full),"$15,001 - $50,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
60,12/29/2021,Self,NS,Nustar Energy L.P. Common Units,Stock,Sale (Full),"$50,001 - $100,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
61,12/29/2021,Self,CLDT,Chatham Lodging Trust (REIT) Common Shares of Bene,Stock,Sale (Full),"$1,001 - $15,000","Asset held by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/,01/10/2022
62,12/15/2021,Self,--,"Ohio State General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 08/01/2022</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
63,12/15/2021,Self,--,"Maryland State General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 08/01/2022</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
64,12/15/2021,Spouse,--,"Maryland State General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 08/01/2022</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
65,12/15/2021,Spouse,--,"Maryland State General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 08/01/2022</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
66,12/15/2021,Spouse,--,"Maryland State General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 08/01/2022</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
67,12/09/2021,Self,--,"Massachusetts Dev Fin Agy Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/15/2033</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
68,12/09/2021,Spouse,--,"Massachusetts Dev Fin Agy Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/15/2033</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
69,12/09/2021,Spouse,--,"Massachusetts Dev Fin Agy Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/15/2033</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
70,12/09/2021,Spouse,--,"Massachusetts Dev Fin Agy Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/15/2033</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/9c5c1a62-11f3-4542-887a-8012c8f35640/,01/07/2022
71,12/31/2021,Spouse,SBIO,ALPS Medical Breakthroughs ETF,Other Securities,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/41868f55-ad42-4855-9aca-1764a05fb956/,01/04/2022
72,12/23/2021,Spouse,--,"JPM Contingent Autocall on Gilead <div class=""text-muted""><em>Rate/Coupon:</em> 8.0%<br> <em>Matures:</em> 12/27/2024</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/41868f55-ad42-4855-9aca-1764a05fb956/,01/04/2022
73,12/22/2021,Spouse,--,"JPM Contingent Autocall on Gilead <div class=""text-muted""><em>Rate/Coupon:</em> 8.65%<br> <em>Matures:</em> 09/20/2024</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/41868f55-ad42-4855-9aca-1764a05fb956/,01/04/2022
74,12/21/2021,Spouse,CEM,ClearBridge MLP and Midstream Fund Inc. Common Sto,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/41868f55-ad42-4855-9aca-1764a05fb956/,01/04/2022
75,12/15/2021,Spouse,--,Goldman Sachs Small-Mid Cap Growth,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/41868f55-ad42-4855-9aca-1764a05fb956/,01/04/2022
76,12/06/2021,Spouse,--,Fidelity Advisor Focused Emerging Markets,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/41868f55-ad42-4855-9aca-1764a05fb956/,01/04/2022
77,11/10/2021,Spouse,--,"ME St Housing Auth (Social Bds) Ser D 56052FWH4 <div class=""text-muted""><em>Rate/Coupon:</em> 1.375%<br> <em>Matures:</em> 11/15/2028</div>",Municipal Security,Purchase,"$50,001 - $100,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/1490bd57-e464-4fb8-8782-5c24eb1be1e1/,12/23/2021
78,12/16/2021,Self,VRM,"Vroom, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000","Asset owned by Roundstone Ventures, LLC","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ac2ba9f8-2938-46be-a501-88910e9d2299/,12/22/2021
79,12/01/2021,Self,CTAA,"Qwest Corporation 7% Notes due 2056 <div class=""text-muted""><em>Rate/Coupon:</em> 6.75<br> <em>Matures:</em> 12/01/2021</div>",Corporate Bond,Sale (Full),"$50,001 - $100,000","Asset owned by Roundstone Ventures, LLC.","William F Hagerty, Iv",https://efdsearch.senate.gov/search/view/ptr/ac2ba9f8-2938-46be-a501-88910e9d2299/,12/22/2021
80,12/03/2021,Spouse,WFC,Wells Fargo &amp; Company Common Stock,Stock,Purchase,"$1,001 - $15,000",Dividend Reinvestment,"A. Mitchell Mcconnell, Jr.",https://efdsearch.senate.gov/search/view/ptr/029bd30d-5f2a-4ad4-9235-4e153b41a29e/,12/16/2021
81,11/01/2021,Self,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Full),"$250,001 - $500,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
82,11/01/2021,Self,NVDA,NVIDIA Corporation - Common Stock,Stock,Sale (Full),"$500,001 - $1,000,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
83,11/01/2021,Self,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Full),"$250,001 - $500,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
84,10/27/2021,Self,FB,"Facebook, Inc. - Class A Common Stock",Stock,Sale (Full),"$250,001 - $500,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
85,10/29/2021,Self,AAPL,Apple Inc. - Common Stock,Stock,Sale (Full),"$250,001 - $500,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
86,10/29/2021,Self,AMZN,"Amazon.com, Inc. - Common Stock",Stock,Sale (Full),"$250,001 - $500,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
87,11/01/2021,Self,GOOGL,Alphabet Inc. - Class A Common Stock,Stock,Sale (Full),"$250,001 - $500,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
88,11/08/2021,Spouse,TTD,"The Trade Desk, Inc. - Class A Common Stock",Stock,Sale (Partial),"$15,001 - $50,000",--,John W Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/3ca89f70-6cd2-4b06-a15d-44fd54fc58fa/,12/10/2021
89,11/22/2021,Joint,MSFT,"Microsoft Corporation - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $210.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/,12/10/2021
90,11/22/2021,Joint,OXY,"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $29.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/,12/10/2021
91,11/22/2021,Joint,ECOM,"ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/,12/10/2021
92,11/22/2021,Joint,AAPL,"Apple Inc. - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $102.50 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/,12/10/2021
93,11/22/2021,Joint,OXY,Occidental Petroleum Corporation Common Stock,Stock,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/,12/10/2021
94,11/17/2021,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $185.00 <br> <em>Expires:</em> 01/20/2023 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/,12/10/2021
