Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-18,6.845837800099626,6.845837800099626,6.806135516011866,6.828822612762451,120100,0.0,0.0
2017-04-19,6.840165818800504,6.840165818800504,6.7721039937431415,6.789119720458984,183000,0.0,0.0
2017-04-20,6.7947937281380755,6.851511757418991,6.783450446823822,6.840168476104736,109700,0.0,0.0
2017-04-21,6.840168476104736,6.840168476104736,6.806137550355545,6.840168476104736,88200,0.0,0.0
2017-04-24,6.857183102373305,6.896885395050049,6.817480809696562,6.896885395050049,118100,0.0,0.0
2017-04-25,6.896882064988449,6.9422562463973545,6.862851699383225,6.930912971496582,158600,0.0,0.0
2017-04-26,6.936584949493408,6.9479287662962905,6.879867488187865,6.936584949493408,77800,0.0,0.0
2017-04-27,6.93091385924206,6.964944229206061,6.9138981333570815,6.959272861480713,109500,0.0,0.0
2017-04-28,6.976287162449988,7.00464616109508,6.947928163804896,6.993302345275879,133900,0.0,0.0
2017-05-01,7.027335166931152,7.0330065354834135,6.993304251102301,7.027335166931152,91200,0.0,0.0
2017-05-02,7.00464616109508,7.021661343920971,6.976287162449988,6.993302345275879,205200,0.0,0.0
2017-05-03,6.99330288664365,7.021661887484078,6.959272518357499,6.964943885803223,144400,0.0,0.0
2017-05-04,6.970616546300105,7.010318827218915,6.947929451360355,6.953601360321045,107100,0.0,0.0
2017-05-05,6.9876345131578965,7.027337350780311,6.9876345131578965,7.010321617126465,82700,0.0,0.0
2017-05-08,7.0500217162680325,7.067036902409345,6.9876317989115275,7.021662712097168,215500,0.0,0.0
2017-05-09,7.006211074294697,7.052003260723871,6.9833149810801105,7.011935234069824,142200,0.113,0.0
2017-05-10,7.023379580595319,7.051999271509364,6.926071103007849,6.943243026733398,167400,0.0,0.0
2017-05-11,6.954691682880202,6.966139997417649,6.903175905118735,6.960415840148926,113100,0.0,0.0
2017-05-12,6.9661360351107,6.98903210527673,6.943239964944668,6.9489641189575195,106300,0.0,0.0
2017-05-15,6.983311112115563,7.017655505852576,6.97758695551179,7.00048303604126,85100,0.0,0.0
2017-05-16,7.017654693088724,7.0348266150256205,7.006206381207089,7.023378849029541,65100,0.0,0.0
2017-05-17,7.006208485840688,7.0348287282566115,6.931796073913574,6.931796073913574,195300,0.0,0.0
2017-05-18,6.9489664594555824,7.023378849029541,6.897450147759337,7.023378849029541,174400,0.0,0.0
2017-05-19,7.051999155804643,7.051999155804643,7.023379465360172,7.03482723236084,124800,0.0,0.0
2017-05-22,7.0577240029649,7.086344242095947,7.040552077840534,7.086344242095947,108100,0.0,0.0
2017-05-23,7.092068071427274,7.155032157897949,7.086343914688404,7.155032157897949,113300,0.0,0.0
2017-05-24,7.137863152738657,7.18365533360598,7.137863152738657,7.166483402252197,132500,0.0,0.0
2017-05-25,7.16648258410503,7.189378671924805,7.143585950399461,7.1779303550720215,74500,0.0,0.0
2017-05-26,7.172202445613403,7.172202445613403,7.143582214335497,7.160754680633545,52800,0.0,0.0
2017-05-30,7.160757745835914,7.200825759245014,7.155033587952974,7.183653831481934,100400,0.0,0.0
2017-05-31,7.200827264959762,7.200827264959762,7.155035084092439,7.166483402252197,96600,0.0,0.0
2017-06-01,7.189377649412361,7.206549576363459,7.166481564848991,7.195101261138916,98900,0.0,0.0
2017-06-02,7.212270357496771,7.269510269165039,7.200822047631841,7.269510269165039,75600,0.0,0.0
2017-06-05,7.269517497968899,7.280965819218032,7.240897240732068,7.252345561981201,149800,0.0,0.0
2017-06-06,7.2695129883653244,7.275237145438941,7.212273055286152,7.229444980621338,125800,0.0,0.0
2017-06-07,7.269513469550327,7.269513469550327,7.212273532682318,7.258065700531006,159800,0.0,0.0
2017-06-08,7.254021014000725,7.25979608964219,7.121184359954075,7.2251434326171875,136600,0.113,0.0
2017-06-09,7.2251459936255555,7.236696699796775,7.190492773523402,7.219370365142822,64800,0.0,0.0
2017-06-12,7.196266978760925,7.213593309988155,7.15583868896601,7.167389392852783,152000,0.0,0.0
2017-06-13,7.1962687550845645,7.219370719354729,7.184717497552345,7.20781946182251,86900,0.0,0.0
2017-06-14,7.236698775236054,7.2598007449982385,7.184719205572534,7.19627046585083,175600,0.0,0.0
2017-06-15,7.190494835711682,7.20782117533472,7.15006652632646,7.19627046585083,74800,0.0,0.0
2017-06-16,7.2078167017369505,7.242469910269598,7.184714746313206,7.2020416259765625,81100,0.0,0.0
2017-06-19,7.242472295028484,7.25979862960289,7.207819075085426,7.254023551940918,203400,0.0,0.0
2017-06-20,7.271350241517308,7.271350241517308,7.219370684462098,7.2424726486206055,144000,0.0,0.0
2017-06-21,7.213593479055665,7.3117769429680255,7.161613933361574,7.265573024749756,212900,0.0,0.0
2017-06-22,7.236697356611934,7.3175545103261985,7.225146649392353,7.282901287078857,150700,0.0,0.0
2017-06-23,7.323330440247408,7.323330440247408,7.271350878637715,7.288677215576172,107500,0.0,0.0
2017-06-26,7.346431246183986,7.346431246183986,7.271349730249447,7.277125358581543,105200,0.0,0.0
