Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-25,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0,0,0
2014-11-26,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0,0,0
2014-11-28,4000.0,4200.0,4000.0,4200.0,2010,0,0
2014-12-01,4000.0,4200.0,4000.0,4200.0,20,0,0
2014-12-02,4200.0,4200.0,4100.0,4100.0,3120,0,0
2014-12-03,4200.0,4200.0,4200.0,4200.0,10,0,0
2014-12-04,4200.0,4200.0,4000.0,4000.0,4130,0,0
2014-12-05,4000.0,4100.0,4000.0,4100.0,23460,0,0
2014-12-08,3900.0,3900.0,3900.0,3900.0,17500,0,0
2014-12-09,3700.0,3800.0,3700.0,3800.0,20760,0,0
2014-12-10,3600.0,3600.0,3600.0,3600.0,43070,0,0
2014-12-11,3500.0,3500.0,3500.0,3500.0,11510,0,0
2014-12-12,3600.0,3600.0,3600.0,3600.0,16940,0,0
2014-12-15,3400.0,3500.0,3400.0,3500.0,13500,0,0
2014-12-16,3400.0,3500.0,3400.0,3500.0,15570,0,0
2014-12-17,3400.0,3500.0,3400.0,3500.0,1990,0,0
2014-12-18,3500.0,3500.0,3400.0,3400.0,13420,0,0
2014-12-19,3500.0,3600.0,3500.0,3600.0,1500,0,0
2014-12-22,3700.0,3700.0,3400.0,3400.0,5190,0,0
2014-12-23,3500.0,3600.0,3500.0,3600.0,14600,0,0
2014-12-24,3600.0,3600.0,3600.0,3600.0,19880,0,0
2014-12-26,3500.0,3500.0,3500.0,3500.0,3460,0,0
2014-12-29,3500.0,3500.0,3400.0,3400.0,26060,0,0
2014-12-30,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2014-12-31,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-02,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-05,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-06,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-07,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-08,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-09,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-12,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-13,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-14,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-15,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-16,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-20,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-21,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-22,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-23,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-26,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-27,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-28,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-29,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-01-30,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-02,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-03,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-04,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-05,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-06,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-09,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-10,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-11,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-12,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-13,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-17,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-18,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-19,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-20,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-23,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-24,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-25,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-26,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-02-27,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-02,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-03,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-04,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-05,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-06,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-09,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-10,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-11,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-12,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-13,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-16,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-17,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-18,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-19,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-20,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-23,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-24,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-25,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-26,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-27,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-30,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-03-31,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-01,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-02,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-06,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-07,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-08,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-09,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-10,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-13,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-14,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-15,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-16,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-17,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-20,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-21,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-22,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,366735,0,0
2015-04-23,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-24,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-27,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-28,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-29,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-04-30,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-01,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-04,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-05,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-06,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-07,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-08,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-11,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-12,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-13,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-14,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-15,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-18,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-19,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-20,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-21,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-22,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-26,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-27,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-28,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-05-29,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-06-01,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-06-02,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-06-03,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-06-04,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0,0
2015-06-05,21.25,21.5,21.25,21.5,17500,0,0
2015-06-08,21.5,21.5,21.5,21.5,0,0,0
2015-06-09,21.5,21.5,21.5,21.5,0,0,0
2015-06-10,21.5,21.5,21.5,21.5,0,0,0
2015-06-11,21.5,21.5,21.5,21.5,0,0,0
2015-06-12,21.5,21.5,21.5,21.5,0,0,0
2015-06-15,21.25,21.25,21.25,21.25,20000,0,0
2015-06-16,21.25,21.25,21.25,21.25,0,0,0
2015-06-17,21.75,21.75,21.75,21.75,2000,0,0
2015-06-18,21.75,21.75,21.75,21.75,0,0,0
2015-06-19,21.75,21.75,21.75,21.75,0,0,0
2015-06-22,21.75,21.75,21.75,21.75,0,0,0
2015-06-23,21.75,21.75,21.75,21.75,0,0,0
2015-06-24,21.75,21.75,21.75,21.75,0,0,0
2015-06-25,21.75,21.75,21.75,21.75,0,0,0
2015-06-26,21.75,21.75,21.75,21.75,0,0,0
2015-06-29,21.75,21.75,21.75,21.75,0,0,0
2015-06-30,21.75,21.75,21.75,21.75,0,0,0
2015-07-01,21.25,21.25,21.25,21.25,25076,0,0
2015-07-02,21.25,21.25,21.25,21.25,0,0,0
2015-07-06,21.25,21.25,21.25,21.25,0,0,0
2015-07-07,21.25,21.25,21.25,21.25,0,0,0
2015-07-08,21.25,21.25,21.25,21.25,282,0,0
2015-07-09,21.25,21.25,21.25,21.25,0,0,0
2015-07-10,21.25,21.25,21.25,21.25,0,0,0
2015-07-13,21.25,21.25,21.25,21.25,0,0,0
2015-07-14,21.25,21.25,21.25,21.25,0,0,0
2015-07-15,21.25,21.25,21.25,21.25,0,0,0
2015-07-16,21.25,21.25,21.25,21.25,0,0,0
2015-07-17,21.25,21.25,21.25,21.25,0,0,0
2015-07-20,21.25,21.25,21.25,21.25,0,0,0
2015-07-21,21.25,21.25,21.25,21.25,0,0,0
2015-07-22,21.25,21.25,21.25,21.25,0,0,0
2015-07-23,21.25,21.25,21.25,21.25,0,0,0
2015-07-24,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,25000,0,0
2015-07-27,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,0,0,0
2015-07-28,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,0,0,0
